reference,subtype,gene,donors,effect,positive_fraction,p,loo_min,q
nonmidget,HRGC11,CTXN3,8,-0.18696775145251224,0.0,0.06788915486182899,-0.21367743023144256,0.1055133427646297
nonmidget,HRGC11,DDX60,8,-0.04240185879877148,0.5,0.779434528427275,-0.2816156177543313,0.8088471521415117
nonmidget,HRGC11,KBTBD11,8,1.502924420203156,0.875,0.025061844343883612,1.3075147772449753,0.04410884604523516
nonmidget,HRGC11,MAN1A1,8,-2.1729393644330623,0.0,0.011718685599768632,-2.434979453537409,0.023122070241695956
nonmidget,HRGC11,RASGRP1,8,-0.002993906532101298,0.625,0.8886378608950078,-0.1354867930295535,0.9030038309325714
nonmidget,HRGC12,ENPP2,8,-1.5462816163363013,0.0,0.011718685599768632,-1.7563274966861577,0.023122070241695956
nonmidget,HRGC12,GDF6,8,-0.14367370713527292,0.0,0.06788915486182899,-0.1641985224403119,0.1055133427646297
nonmidget,HRGC12,GNAI1,8,0.2973697270565535,0.75,0.12348527214454895,0.19458721924968778,0.17409782220613645
nonmidget,HRGC12,CHRNB2,8,-0.7184017298264342,0.5,0.40081416938293446,-0.9422403418361994,0.46532515706725897
nonmidget,HRGC12,GLDN,8,-0.9719116474604719,0.125,0.12348527214454895,-1.372936255871368,0.17409782220613645
nonmidget,HRGC12,DLGAP1,8,0.7309843540181584,1.0,0.011718685599768632,0.6575592540173439,0.023122070241695956
nonmidget,HRGC12,DTX3L,8,-0.1934520255998258,0.375,0.5754030229127536,-0.3465448656234279,0.6337354945722443
nonmidget,HRGC12,LPAR1,8,-0.8515698495929668,0.25,0.12348527214454895,-1.1204605477597558,0.17409782220613645
nonmidget,HRGC12,PDLIM5,8,-2.7888543625320255,0.0,0.011718685599768632,-3.0468422773817037,0.023122070241695956
nonmidget,HRGC12,KIAA1217,8,-3.737166614611307,0.0,0.011718685599768632,-3.989445187042101,0.023122070241695956
nonmidget,HRGC12,FGF18,8,0.8111459499547689,0.75,0.16142946236708322,0.528048480965712,0.21821494144859177
nonmidget,HRGC12,MAN1A2,8,-0.003807409171380449,0.5,1.0,-0.03240634511838384,1.0
nonmidget,HRGC12,IGF1,8,-0.4465973228416001,0.125,0.16142946236708322,-0.8356250942820795,0.21821494144859177
nonmidget,HRGC12,IGFBP5,8,-0.7584285666020437,0.125,0.09289194088370531,-0.9938114769370348,0.13715588586855817
nonmidget,HRGC12,IL1RAPL2,8,-1.9526414322314456,0.125,0.017290280592906247,-2.3526332690311853,0.031898211576011526
nonmidget,HRGC12,IRX1,8,-1.7533908335278805,0.125,0.017290280592906247,-2.0608869369070835,0.031898211576011526
nonmidget,HRGC12,SLC16A2,8,-0.10053092340048697,0.625,0.8886378608950078,-0.297534487119353,0.9030038309325714
nonmidget,HRGC12,OPN4,8,-2.19950566347757,0.125,0.017290280592906247,-2.537999834861806,0.031898211576011526
nonmidget,HRGC12,OSTF1,8,-0.33546100931065925,0.25,0.16142946236708322,-0.4442847248268022,0.21821494144859177
nonmidget,HRGC12,KSR1,8,-0.09540335575388426,0.375,0.4838398513935682,-0.14595461691450495,0.5479782100725097
nonmidget,HRGC12,SLC7A8,8,-0.22341187023824238,0.25,0.12348527214454895,-0.30201511352652816,0.17409782220613645
nonmidget,HRGC12,KCNC4,8,-0.4684752053379912,0.25,0.0687035743228782,-0.554614745996836,0.1055133427646297
nonmidget,HRGC12,PLEKHA2,8,0.529524804609546,0.875,0.017290280592906247,0.41784004376619244,0.031898211576011526
nonmidget,HRGC12,TMEM200A,8,-0.11787996107877596,0.75,0.6744240722352938,-0.32800984862439986,0.7211338803973979
nonmidget,HRGC12,SRPX2,8,-0.029267542757347973,0.0,0.17971249487899976,-0.03344862029411197,0.24071079983792967
nonmidget,HRGC12,TGFBR3,8,0.2983094745866003,0.625,0.4838398513935682,0.004675375385819335,0.5479782100725097
nonmidget,HRGC12,SLC44A5,8,-0.6612035518681314,0.5,0.40081416938293446,-1.030084797306071,0.46532515706725897
nonmidget,HRGC12,SDK1,8,0.013779280820330086,0.5,0.6744240722352938,-0.021970943087884214,0.7211338803973979
nonmidget,HRGC12,CAV2,8,0.28053793281564887,0.625,0.32698934959801507,0.11963328356318252,0.40132584051081344
nonmidget,HRGC12,TMEM144,8,-0.41663842260784856,0.25,0.0687035743228782,-0.5467489939129095,0.1055133427646297
nonmidget,HRGC12,RBMS3,8,0.6439618883388755,1.0,0.011718685599768632,0.506175715835326,0.023122070241695956
nonmidget,HRGC12,VAT1L,8,-1.2256212512321305,0.0,0.011718685599768632,-1.384654625506968,0.023122070241695956
nonmidget,HRGC12,HFE,8,-0.07976938321888749,0.0,0.043114446783075355,-0.09116500939301428,0.07145143722995538
nonmidget,HRGC12,BRINP1,8,-0.06983260471165953,0.25,0.2626182904425206,-0.14647113137919604,0.33062102373307317
nonmidget,HRGC12,PARM1,8,0.9545023689530545,1.0,0.011718685599768632,0.891711436319303,0.023122070241695956
nonmidget,HRGC12,VEGFC,8,-0.2720673107596463,0.125,0.16142946236708322,-0.5414194516427667,0.21821494144859177
nonmidget,HRGC12,ITGA7,8,-0.41220114861981527,0.375,0.40081416938293446,-0.5227478927975682,0.46532515706725897
nonmidget,HRGC12,PTPRT,8,-1.8850340341878644,0.25,0.04994997645474642,-2.332305556624828,0.08035828021970173
nonmidget,HRGC12,SHROOM3,8,-1.0680371109102398,0.25,0.04994997645474642,-1.353480961392693,0.08035828021970173
nonmidget,HRGC12,CTXN3,8,-0.20288005554784486,0.0,0.027707849358079868,-0.23186292062610842,0.04790355095306539
nonmidget,HRGC12,DDX60,8,0.9340444065764306,0.75,0.03569190011680441,0.7103511896028113,0.059826423052929296
nonmidget,HRGC12,KBTBD11,8,-0.8037958126153787,0.125,0.04994997645474642,-1.0720650930492472,0.08035828021970173
nonmidget,HRGC12,MAN1A1,8,-1.3328864388713806,0.125,0.04994997645474642,-1.6754312742617112,0.08035828021970173
nonmidget,HRGC12,RASGRP1,8,-0.13220927387857018,0.625,0.779434528427275,-0.2158034394443654,0.8088471521415117
nonmidget,HRGC7,ENPP2,36,0.39333789434572164,0.6944444444444444,0.010442432848504721,0.33724659286312997,0.023122070241695956
nonmidget,HRGC7,GDF6,36,-0.10789824701694277,0.027777777777777776,0.010862224704815628,-0.11534817021959748,0.023122070241695956
nonmidget,HRGC7,GNAI1,36,-0.0791029032749808,0.4444444444444444,0.3539660363660794,-0.098999877351474,0.427871032969986
nonmidget,HRGC7,CHRNB2,36,-0.28370390958050784,0.25,0.004245440731658124,-0.3336247300001983,0.010643840010994728
nonmidget,HRGC7,GLDN,36,-1.241548001371827,0.05555555555555555,3.291596073353219e-07,-1.2974282288932109,2.5511850852911936e-06
nonmidget,HRGC7,DLGAP1,36,1.215204254138259,0.9722222222222222,1.829161137697455e-07,1.1966288442651263,1.8716997688066983e-06
nonmidget,HRGC7,DTX3L,36,0.47790110213624093,0.6944444444444444,0.0019682400460226917,0.44289644951128715,0.006163883418149356
nonmidget,HRGC7,LPAR1,36,-1.2196445784330054,0.027777777777777776,1.9209211049031396e-06,-1.2564948031116865,1.0698801090599765e-05
nonmidget,HRGC7,PDLIM5,36,1.6163214090656892,1.0,1.680295787277147e-07,1.5966081392793028,1.8716997688066983e-06
nonmidget,HRGC7,KIAA1217,36,1.4956297272104968,0.8611111111111112,3.5759443469322924e-06,1.4366507763941316,1.9187994056709862e-05
nonmidget,HRGC7,FGF18,36,-0.517029788716209,0.2777777777777778,0.0013508252535537715,-0.5966894403517554,0.004354308509623878
nonmidget,HRGC7,MAN1A2,36,-0.041868102970274976,0.3888888888888889,0.13556690743699396,-0.055969611898680514,0.18980300377284692
nonmidget,HRGC7,IGF1,36,-0.9492719201415566,0.1111111111111111,3.6464809783275064e-05,-1.0379961868802499,0.00016626441766467388
nonmidget,HRGC7,IGFBP5,36,-1.4086039248977038,0.08333333333333333,5.615928245373209e-06,-1.5113715587803915,2.941676699957395e-05
nonmidget,HRGC7,IL1RAPL2,36,-2.1090918866686037,0.027777777777777776,1.829161137697455e-07,-2.172476102842377,1.8716997688066983e-06
nonmidget,HRGC7,IRX1,36,-0.6495905359845452,0.1388888888888889,1.2565388657627836e-05,-0.7006581643414808,6.177397775817036e-05
nonmidget,HRGC7,SLC16A2,36,-0.3005256732420564,0.3611111111111111,0.08118109511086911,-0.3707143329264783,0.12253750205414204
nonmidget,HRGC7,OPN4,36,-2.848627189772399,0.0,2.477027639365237e-07,-2.9300165380516106,2.270608669418134e-06
nonmidget,HRGC7,OSTF1,36,0.05153906862527915,0.5833333333333334,0.41395706157368684,0.026264463804167987,0.47806064853654123
nonmidget,HRGC7,KSR1,36,-0.16286296803944944,0.25,0.0007736246114213244,-0.19656857034701847,0.0026697633649049625
nonmidget,HRGC7,SLC7A8,36,0.3208142954407616,0.8333333333333334,2.257583667112356e-06,0.30330041217174875,1.2494802685904863e-05
nonmidget,HRGC7,KCNC4,36,-0.9745880724929038,0.05555555555555555,3.291596073353219e-07,-1.0127622945864765,2.5511850852911936e-06
nonmidget,HRGC7,PLEKHA2,36,-1.2355397931302947,0.027777777777777776,1.990738731181765e-07,-1.275139775380565,1.9251099818021462e-06
nonmidget,HRGC7,TMEM200A,36,-2.3370783037388136,0.0,1.680295787277147e-07,-2.3808554465588943,1.8716997688066983e-06
nonmidget,HRGC7,SRPX2,36,-0.07575011648341211,0.1111111111111111,0.08437944259396048,-0.09847619921122477,0.12714710527857057
nonmidget,HRGC7,TGFBR3,36,-0.8684776268427208,0.1388888888888889,3.564245603154823e-06,-0.9135265040821752,1.9187994056709862e-05
nonmidget,HRGC7,SLC44A5,36,-0.7078238046476845,0.3055555555555556,0.003942462507876213,-0.7840226085619213,0.009969445422215712
