reference,subtype,donor,study,score
all,PG_ON,BCM_22_0434,Chen_ancestry,0.43767421219189084
all,PG_ON,BCM_22_0784,Chen_ancestry,0.6213163710122533
all,PG_ON,BCM_23_0334,Chen_ancestry,0.5400417790963797
all,PG_ON,Chen_19_D007,Chen_rgc,0.21798099386744044
all,PG_ON,Chen_19_D011,Chen_rgc,0.5097342250969068
all,PG_ON,Chen_19_D015,Chen_b_GSE226108,0.17582729157759455
all,PG_ON,Chen_19_D016,Chen_rgc,0.48029721123467173
all,PG_ON,Chen_D013_13,Chen_c_GSE247157,0.5001931578125602
all,PG_ON,Chen_D021_13,Chen_c_GSE247157,0.3257511867031884
all,PG_ON,Hu0218,Shekhar_GSE237204,0.4562944549619995
all,PG_ON,Hu0220,Shekhar_GSE237204,0.4399409259428535
all,PG_ON,Hu0235,Shekhar_GSE237204,0.3075195119784705
all,PG_ON,Hu0355,Shekhar_GSE237204,0.31261542044234425
all,PG_ON,Hu0869,Shekhar_GSE237204,-0.05781440308707603
all,PG_ON,Hu0887,Shekhar_GSE237204,-0.010629953489724297
all,PG_ON,Hu1059,Shekhar_GSE237204,0.4789503833936306
all,PG_ON,MMD_22_02443,Chen_ancestry,0.2757689544028901
all,PG_ON,MMD_22_13066,Chen_ancestry,0.41234347418999084
all,PG_ON,MMD_22_14307,Chen_ancestry,0.2533976543281293
all,PG_ON,MMD_22_16477,Chen_ancestry,0.07656995074852649
all,PG_ON,MMD_22_16860,Chen_ancestry,0.5713837138506223
all,PG_ON,MMD_22_17017,Chen_ancestry,0.34986939030944153
all,PG_ON,MMD_22_17464,Chen_ancestry,0.49106073907932224
all,PG_ON,MMD_22_17939,Chen_ancestry,0.4660114037339315
all,PG_ON,MMD_22_18633,Chen_ancestry,0.5697668514578536
all,PG_ON,MMD_22_20137,Chen_ancestry,0.1576954066476559
all,PG_ON,MMD_22_20357,Chen_ancestry,0.42911516173506337
all,PG_ON,MMD_22_20372,Chen_ancestry,0.791148105403234
all,PG_ON,MMD_22_21878,Chen_ancestry,0.3685939704655823
all,PG_ON,MMD_22_32888,Chen_ancestry,0.41470736654106505
all,PG_ON,MMD_22_33472,Chen_ancestry,0.514410330594935
all,PG_ON,MMD_22_37089,Chen_ancestry,0.36462798182472367
all,PG_ON,MMD_22_37117,Chen_ancestry,0.39690565155577384
all,PG_ON,MMD_22_38453,Chen_ancestry,0.27219104924895604
all,ipRGC,BCM_22_0183,Chen_ancestry,0.8608604790295262
all,ipRGC,BCM_22_0434,Chen_ancestry,0.9218936958668781
all,ipRGC,Chen_19_D007,Chen_rgc,-0.535237534767375
all,ipRGC,Chen_19_D011,Chen_rgc,0.14577255984937382
all,ipRGC,Chen_19_D013,Chen_b_GSE226108,-0.41767517751596406
all,ipRGC,Chen_19_D015,Chen_b_GSE226108,-0.46242033201371824
all,ipRGC,Chen_19_D016,Chen_rgc,-0.057873771418011866
all,ipRGC,Hu0235,Shekhar_GSE237204,0.08491693216230534
all,ipRGC,Hu0869,Shekhar_GSE237204,0.46291888745041987
all,ipRGC,MMD_22_14307,Chen_ancestry,-0.3402887728658973
all,ipRGC,MMD_22_20137,Chen_ancestry,0.21103042501822578
all,ipRGC,MMD_22_20357,Chen_ancestry,0.16723478991960972
all,ipRGC,MMD_22_21878,Chen_ancestry,0.49008659365337903
all,ipRGC,MMD_22_32888,Chen_ancestry,0.4212979382727086
all,ipRGC,MMD_22_37089,Chen_ancestry,0.17678485215547407
nonmidget,HRGC10,BCM_22_0183,Chen_ancestry,-0.9599030501644853
nonmidget,HRGC10,BCM_22_0434,Chen_ancestry,-1.176364323568034
nonmidget,HRGC10,Chen_19_D011,Chen_rgc,-1.3802422491259163
nonmidget,HRGC10,Chen_19_D014,Chen_b_GSE226108,-0.10909597208939453
nonmidget,HRGC10,Chen_19_D016,Chen_rgc,-1.7183715616615232
nonmidget,HRGC10,MMD_22_21878,Chen_ancestry,-1.135318914249149
nonmidget,HRGC10,MMD_22_32888,Chen_ancestry,-0.7031491188134478
nonmidget,HRGC10,MMD_22_38453,Chen_ancestry,-1.04601054629737
nonmidget,HRGC11,BCM_22_0200,Chen_ancestry,-0.5825421213987904
nonmidget,HRGC11,BCM_22_0784,Chen_ancestry,-0.2614352228876475
nonmidget,HRGC11,MMD_22_16477,Chen_ancestry,0.30474754103148427
nonmidget,HRGC11,MMD_22_17017,Chen_ancestry,0.15851696725407272
nonmidget,HRGC11,MMD_22_17464,Chen_ancestry,-1.160646716245001
nonmidget,HRGC11,MMD_22_20357,Chen_ancestry,-0.5305808078313057
nonmidget,HRGC11,MMD_22_32888,Chen_ancestry,-0.3875268548555775
nonmidget,HRGC11,MMD_22_33472,Chen_ancestry,-0.043834252831985124
nonmidget,HRGC12,BCM_22_0183,Chen_ancestry,-0.33854960572700904
nonmidget,HRGC12,BCM_22_0434,Chen_ancestry,-0.14239433775022378
nonmidget,HRGC12,BCM_22_0784,Chen_ancestry,-0.48684338897652596
nonmidget,HRGC12,Chen_19_D011,Chen_rgc,-0.8489503863568804
nonmidget,HRGC12,Hu0220,Shekhar_GSE237204,-0.5580364091446601
nonmidget,HRGC12,MMD_22_20357,Chen_ancestry,-0.7939388407639197
nonmidget,HRGC12,MMD_22_20372,Chen_ancestry,0.0077431844602685596
nonmidget,HRGC12,MMD_22_37117,Chen_ancestry,0.27869142806314184
nonmidget,HRGC7,19-D008,Chen_rgc,0.02680365931204365
nonmidget,HRGC7,19-D009,Chen_rgc,-0.47507345114810584
nonmidget,HRGC7,BCM_22_0183,Chen_ancestry,-0.42212776919547423
nonmidget,HRGC7,BCM_22_0200,Chen_ancestry,-0.41129279660516893
nonmidget,HRGC7,BCM_22_0434,Chen_ancestry,-0.4051052042557055
nonmidget,HRGC7,BCM_22_0784,Chen_ancestry,-0.28037851398352065
nonmidget,HRGC7,BCM_23_0334,Chen_ancestry,-0.4659489468512858
nonmidget,HRGC7,BCM_23_0358,Chen_ancestry,-0.09170586804093347
nonmidget,HRGC7,Chen_19_D007,Chen_rgc,-0.5418528473603452
nonmidget,HRGC7,Chen_19_D011,Chen_rgc,-0.35067183553797754
nonmidget,HRGC7,Chen_19_D015,Chen_b_GSE226108,-0.7500249477257408
nonmidget,HRGC7,Chen_D013_13,Chen_c_GSE247157,-0.4557577245362215
nonmidget,HRGC7,Chen_D021_13,Chen_c_GSE247157,-0.7106809854789785
