type,mouse,strata,control_cells,injured_cells,injury_difference
7,Tmem144,2,372,416,2.240915689336705
7,Rbms3,2,372,416,-0.36768712735719866
7,Hfe,2,372,416,-1.153534133114185
7,Brinp1,2,372,416,-1.1541001137486226
7,Vegfc,2,372,416,-1.293816081231511
7,Itga7,2,372,416,0.8131692105641488
7,Shroom3,2,372,416,-0.5428212322863532
7,Ddx60,2,372,416,0.6434683342511014
7,Kbtbd11,2,372,416,-2.2619504448124195
8,Opn4,2,261,234,-0.32344496759833463
8,Rasgrp1,2,261,234,-2.449669189886691
8,Prkcq,2,261,234,-2.131982095435574
8,Gldn,2,261,234,2.4281779481489734
8,Ndnf,2,261,234,0.4042711736824067
8,Ctxn3,2,261,234,-2.3163544604425272
8,Gdf6,2,261,234,-0.8177137880836849
8,Eomes,2,261,234,-1.257429231402944
8,Ifitm10,2,261,234,1.1306360625751055
8,Igf1,2,261,234,-0.940629466021663
8,Cd24a,2,261,234,3.3031318419519984
8,Man1a,2,261,234,0.5621204583992916
8,Vat1l,2,261,234,-0.5939312311157439
8,Tbx20,2,261,234,-0.29570561932695116
8,Ptprt,2,261,234,2.7929202851782025
8,Tmem255b,2,261,234,-0.24400096625689482
8,Dmrtb1,2,261,234,-2.3181262889947707
8,Parm1,2,261,234,-3.31584221607408
8,Dgkg,2,261,234,-0.15456888796866575
