mouse,human,atlas_effect,control_effect,auc,p,q,min_batch_loo_effect,max_batch_loo_effect
Cmtm4,CMTM4,0.3792530638875382,0.6402933249180363,0.793233082706767,0.015223595716467662,0.10374151345773479,0.32638667597729665,0.4729632961568253
Mrpl15,MRPL15,-0.16513965033717248,0.09854387209099347,0.3082706766917293,0.11376952397177288,0.2980745515460313,-0.22209547459637946,-0.1316268360587447
Rpl35a,RPL35A,0.11688433326192715,0.12864709874701674,0.6015037593984962,0.40660505129530145,0.62057554221334,0.10891483113114298,0.12880647028155856
Mrps15,MRPS15,0.05490552382649927,-0.3338333116422815,0.6127819548872181,0.3555738985646425,0.5727437082590845,0.0407227606225149,0.0746459951379892
Tmem147,TMEM147,-0.04255974442478383,0.2057053294936262,0.45864661654135336,0.74229062170785,0.864599432042442,-0.054802495092981296,-0.030227200125080067
Nkiras2,NKIRAS2,-0.2725796959656117,-0.3372899898372306,0.21428571428571427,0.018060127621531002,0.11138242153775801,-0.320893812199607,-0.23673968023622916
Mydgf,MYDGF,-0.1446040515364828,-0.07476296174542085,0.2706766917293233,0.058140365266868194,0.2045259022568979,-0.14954668081818578,-0.13585556856780467
Spryd4,SPRYD4,-0.04142781809831142,0.41606385008221203,0.42857142857142855,0.5623515890563371,0.7410222862399987,-0.0972082603742308,-0.010204302318901792
Polr3h,POLR3H,-0.09594039205552107,0.03236716071721535,0.4323308270676692,0.5836673142120434,0.7567889752071411,-0.1254304864246043,-0.062216813821599715
Arl1,ARL1,-0.23958052590328371,-0.23126981269355174,0.24436090225563908,0.03452787486650697,0.1548762387084403,-0.2779034984544211,-0.2114788643730936
Brap,BRAP,0.03487543137950855,-0.23372908865856967,0.5864661654135338,0.481048323333079,0.6825239739973527,-0.010722526493363027,0.07641388125030879
Opcml,OPCML,0.15922922587570465,-0.07570638000695862,0.5300751879699248,0.8143077020295144,0.9035369286675586,0.1256791158892705,0.19971815565503892
Ntm,NTM,-0.10182164748368017,-0.13812883939218334,0.45864661654135336,0.74229062170785,0.864599432042442,-0.1391894690003168,-0.06275100834433367
Nop16,NOP16,-0.4051823037303448,-0.3827466194565732,0.17293233082706766,0.006751426870487882,0.07710295165284167,-0.5579819099464363,-0.16387716589412094
Rgs8,RGS8,-0.546417729457704,-0.9467123121671879,0.34962406015037595,0.21608889627253147,0.42921872354044177,-0.6114022289992702,-0.49608254266382623
Rab3c,RAB3C,-0.5216569536289875,-0.4992077282056453,0.2706766917293233,0.058140365266868194,0.2045259022568979,-0.53333856485912,-0.49922235787579616
Atp6v1f,ATP6V1F,0.007799496937384021,0.12129332995048792,0.5902255639097744,0.4617709847601852,0.6669494541298989,-0.006808922048035626,0.02106718229249971
Zhx2,ZHX2,0.10963070483866133,-0.20181781686757594,0.5714285714285714,0.5623387150198709,0.7410222862399987,0.03174784371219297,0.2568635457899655
Slc39a11,SLC39A11,0.12894325308607169,0.4105689374130277,0.5375939849624061,0.7660808735671761,0.8755993938673546,-0.08198499924016289,0.27861974384358934
Kif21b,KIF21B,0.5229668468293065,0.31797202345315423,0.7744360902255639,0.023181259199553498,0.1264216230467837,0.46182085958625496,0.6108333882503199
